prices_paid_to_growers,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Colombia,1.5347240618101543,1.4817902869757174,1.2046556291390729,1.1064768211920528,1.898326710816777,2.199185430463576,2.0652450331125825,2.9396732891832227,2.2534326710816774,1.906905077262693,1.654717439293598,1.279260485651214,1.1604172185430461,1.0671743929359823,1.3428807947019867,1.9695673289183222,1.982523178807947,2.2086865342163353,2.5214326710816777,3.0674415011037524,3.9856158940397344,5.2908675496688735,3.679737306843267,2.514538631346578,3.525662251655629,2.635854304635761,2.7275298013245033,2.776185430463576,2.505913907284768
Dominican Republic,1.458167770419426,1.3828454746136865,1.0278410596026488,1.1727041942604854,2.4782339955849886,2.412,1.9353421633554084,3.6735871964679907,2.1026158940397353,1.6376092715231787,1.5013841059602646,0.9280176600441501,1.1220529801324501,1.0943046357615893,1.6710044150110375,1.9407417218543044,1.9049492273730684,1.923362030905077,2.2395320088300217,2.3407306843267106,3.0712759381898453,4.217812362030905,3.26283885209713,3.1120838852097124,4.0521721854304635,3.7750110375275936,3.9113951434878587,3.8269735099337745,3.39105298013245
El Salvador,1.1161942604856512,0.9833222958057394,0.6823222958057394,0.7803973509933774,2.191176600441501,2.2188256070640175,1.656072847682119,2.762551876379691,1.8773841059602647,1.2565629139072847,0.9834039735099337,0.38915011037527586,0.48204856512141275,0.567083885209713,0.8676357615894038,1.4811699779249445,1.4899028697571741,1.6608233995584987,1.8995827814569535,1.748205298013245,2.4256203090507724,4.1222560706401765,2.651657836644591,2.1032759381898454,2.582929359823399,1.9304392935982337,1.9764415011037524,1.934158940397351,1.6453002207505518
Guatemala,1.2049558498896247,1.2700860927152318,0.8880993377483443,0.9145518763796909,1.662710816777042,2.192935982339956,1.8491699779249444,2.146818984547461,2.2615209713024282,1.7491699779249446,1.5535253863134657,1.000997792494481,1.0951788079470197,1.0689668874172185,1.4770397350993374,2.0411523178807944,2.013128035320088,2.1702428256070636,2.450962472406181,2.4203752759381896,3.1958300220750546,4.689066225165563,3.664006622516556,2.804847682119205,3.3738101545253856,3.073229580573951,2.990443708609271,2.960790286975717,2.6970220750551874
Honduras,1.1114701986754967,1.2389470198675494,0.8860573951434877,0.8287461368653422,1.8005761589403972,2.2637814569536423,1.4936158940397348,2.580165562913907,2.058671081677704,1.3571898454746136,1.1983885209713023,0.7575629139072847,0.8180132450331125,0.92080353200883,1.1086644591611476,1.7370706401766003,1.784026490066225,1.8020309050772627,1.9990441501103753,1.8480154525386314,2.762887417218543,4.4154304635761585,3.115841059602649,2.247158940397351,2.625613686534216,2.449565121412803,2.056690949227373,2.003671081677704,1.8552913907284767
Brazil,1.1992229580573952,0.9711501103752758,0.9977682119205298,1.167262693156733,2.529110375275938,2.5501721854304633,2.1268344370860928,3.2099227373068433,2.3233796909492272,1.6350242825607062,1.4564437086092714,0.8177880794701986,0.6823156732891832,0.9452185430463574,1.2434922737306842,1.9225165562913906,1.920922737306843,2.169878587196468,2.4118785871964676,2.2251501103752758,2.957955849889624,4.9505518763796905,3.361763796909492,2.254699779249448,2.9734415011037525,2.306547461368653,2.3803664459161147,2.438757174392936,2.003980132450331
Ethiopia,1.3485651214128034,1.5053222958057395,1.351128035320088,1.3624415011037527,2.418233995584989,2.539011037527594,1.4952869757174394,2.0100596026490063,2.0279006622516556,1.4491125827814568,1.2454966887417218,0.9664348785871963,0.5933355408388521,0.7630883002207505,1.0783929359823399,1.4178278145695362,1.2873554083885208,1.5414790286975715,1.5830044150110374,1.7011501103752757,1.886529801324503,3.21108830022075,2.2690883002207505,1.618110375275938,1.837430463576159,1.6783598233995585,1.927315673289183,1.7992781456953642,1.5602339955849889
Togo,0.6452671081677703,0.6323068432671081,0.658494481236203,0.4998565121412803,0.5737836644591611,1.3556181015452538,1.3814525386313463,0.990867549668874,1.1022141280353202,0.9541169977924944,0.5058807947019867,0.3381169977924945,0.4032251655629139,0.5025607064017659,0.48358719646799114,0.616242825607064,0.9871192052980132,1.252147902869757,1.698362030905077,0.986980132450331,0.934988962472406,1.6367108167770419,1.5120949227373068,1.4693796909492272,1.3219116997792493,1.31462472406181,1.4510419426048564,1.517220750551876,1.5657306843267107
